New York (Central Park), New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1990-2020
Missing: -99
Date,Value,Anomaly
189501,28.8,-5.1
189601,27.5,-6.4
189701,28.3,-5.6
189801,32.9,-1.0
189901,28.9,-5.0
190001,30.1,-3.8
190101,30.4,-3.5
190201,28.3,-5.6
190301,28.3,-5.6
190401,23.2,-10.7
190501,26.4,-7.5
190601,35.5,1.6
190701,32.0,-1.9
190801,30.1,-3.8
190901,31.7,-2.2
191001,29.3,-4.6
191101,34.0,0.1
191201,22.2,-11.7
191301,39.2,5.3
191401,29.9,-4.0
191501,32.9,-1.0
191601,34.4,0.5
191701,31.3,-2.6
191801,20.1,-13.8
191901,34.1,0.2
192001,22.2,-11.7
192101,32.2,-1.7
192201,27.0,-6.9
192301,28.7,-5.2
192401,31.5,-2.4
192501,27.2,-6.7
192601,30.8,-3.1
192701,29.7,-4.2
192801,32.7,-1.2
192901,30.7,-3.2
193001,32.1,-1.8
193101,31.5,-2.4
193201,42.0,8.1
193301,39.1,5.2
193401,33.4,-0.5
193501,27.6,-6.3
193601,28.1,-5.8
193701,39.0,5.1
193801,30.9,-3.0
193901,31.0,-2.9
194001,23.8,-10.1
194101,28.2,-5.7
194201,29.5,-4.4
194301,29.5,-4.4
194401,32.7,-1.2
194501,24.0,-9.9
194601,32.9,-1.0
194701,35.9,2.0
194801,24.2,-9.7
194901,37.4,3.5
195001,40.5,6.6
195101,35.2,1.3
195201,35.0,1.1
195301,36.4,2.5
195401,29.6,-4.3
195501,29.7,-4.2
195601,30.8,-3.1
195701,27.3,-6.6
195801,30.7,-3.2
195901,30.0,-3.9
196001,32.7,-1.2
196101,26.5,-7.4
196201,31.4,-2.5
196301,28.9,-5.0
196401,34.4,0.5
196501,28.5,-5.4
196601,31.0,-2.9
196701,36.1,2.2
196801,25.5,-8.4
196901,30.6,-3.3
197001,23.9,-10.0
197101,25.7,-8.2
197201,34.1,0.2
197301,34.6,0.7
197401,34.3,0.4
197501,36.4,2.5
197601,26.7,-7.2
197701,21.4,-12.5
197801,27.7,-6.2
197901,31.5,-2.4
198001,32.3,-1.6
198101,24.8,-9.1
198201,24.7,-9.2
198301,33.1,-0.8
198401,28.7,-5.2
198501,27.6,-6.3
198601,33.4,-0.5
198701,31.7,-2.2
198801,28.9,-5.0
198901,36.8,2.9
199001,40.7,6.8
199101,34.2,0.3
199201,35.1,1.2
199301,35.7,1.8
199401,24.9,-9.0
199501,36.9,3.0
199601,30.8,-3.1
199701,32.4,-1.5
199801,40.3,6.4
199901,34.2,0.3
200001,31.6,-2.3
200101,33.9,0.0
200201,40.2,6.3
200301,27.8,-6.1
200401,25.0,-8.9
200501,31.6,-2.3
200601,41.2,7.3
200701,37.8,3.9
200801,36.8,2.9
200901,28.2,-5.7
201001,33.0,-0.9
201101,30.2,-3.7
201201,37.8,3.9
201301,35.6,1.7
201401,28.7,-5.2
201501,30.0,-3.9
201601,34.5,0.6
201701,38.1,4.2
201801,31.8,-2.1
201901,32.6,-1.3
202001,39.2,5.3
202101,34.8,0.9
202201,30.4,-3.5
